Date,Forecast
2015-01-23,4505.539695834685
2015-01-24,4731.725761623184
2015-01-25,4754.100716486772
2015-01-26,5090.214034474795
2015-01-27,4622.400782071521
2015-01-28,4548.204093544032
2015-01-29,4496.312561210794
2015-01-30,4844.606022265915
2015-01-31,5057.114728512589
2015-02-01,5059.090739092648
2015-02-02,5368.919397204045
2015-02-03,4869.85856811015
2015-02-04,4760.437972978127
2015-02-05,4670.3728360977775
2015-02-06,4978.585890562998
2015-02-07,5150.1432747271265
2015-02-08,5111.303675016951
2015-02-09,5381.409049621138
2015-02-10,4844.605031464019
2015-02-11,4700.223705372328
2015-02-12,4578.683269633149
2015-02-13,4859.498847388813
2015-02-14,5008.210125353024
2015-02-15,4951.425244808572
2015-02-16,5208.7092741257575
2015-02-17,4664.305284518736
2015-02-18,4517.5205805533005
2015-02-19,4398.632392039281
2015-02-20,4686.9070365652005
2015-02-21,4847.5379301934445
