Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Weekday,IsPromo,IsStateHoliday,IsSchoolHoliday,CompetitionOpen,DayOfYear,IsWeekend,WeekdayNum,Lag_1,Lag_7
1,3,2013-01-02,5530,668,1,0,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Wednesday,0,0,1,1,2,0,2,5530.0,5530.0
1,4,2013-01-03,4327,578,1,0,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Thursday,0,0,1,1,3,0,3,5530.0,5530.0
1,5,2013-01-04,4486,619,1,0,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Friday,0,0,1,1,4,0,4,4327.0,5530.0
1,6,2013-01-05,4997,635,1,0,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Saturday,0,0,1,1,5,1,5,4486.0,5530.0
1,1,2013-01-07,7176,785,1,1,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Monday,1,0,1,1,7,0,0,4997.0,5530.0
1,2,2013-01-08,5580,654,1,1,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Tuesday,1,0,1,1,8,0,1,7176.0,5530.0
1,3,2013-01-09,5471,626,1,1,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Wednesday,1,0,1,1,9,0,2,5580.0,5530.0
1,4,2013-01-10,4892,615,1,1,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Thursday,1,0,1,1,10,0,3,5471.0,5530.0
1,5,2013-01-11,4881,592,1,1,0,1,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Friday,1,0,1,1,11,0,4,4892.0,4327.0
1,6,2013-01-12,4952,646,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Saturday,0,0,0,1,12,1,5,4881.0,4486.0
1,1,2013-01-14,4717,616,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Monday,0,0,0,1,14,0,0,4952.0,4997.0
1,2,2013-01-15,3900,512,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Tuesday,0,0,0,1,15,0,1,4717.0,7176.0
1,3,2013-01-16,4008,530,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Wednesday,0,0,0,1,16,0,2,3900.0,5580.0
1,4,2013-01-17,4044,503,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Thursday,0,0,0,1,17,0,3,4008.0,5471.0
1,5,2013-01-18,4127,568,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Friday,0,0,0,1,18,0,4,4044.0,4892.0
1,6,2013-01-19,5182,688,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Saturday,0,0,0,1,19,1,5,4127.0,4881.0
1,1,2013-01-21,5394,607,1,1,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Monday,1,0,0,1,21,0,0,5182.0,4952.0
1,2,2013-01-22,5720,667,1,1,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Tuesday,1,0,0,1,22,0,1,5394.0,4717.0
1,3,2013-01-23,5578,627,1,1,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Wednesday,1,0,0,1,23,0,2,5720.0,3900.0
1,4,2013-01-24,5195,645,1,1,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Thursday,1,0,0,1,24,0,3,5578.0,4008.0
1,5,2013-01-25,5586,676,1,1,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Friday,1,0,0,1,25,0,4,5195.0,4044.0
1,6,2013-01-26,5598,640,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Saturday,0,0,0,1,26,1,5,5586.0,4127.0
1,1,2013-01-28,4055,549,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Monday,0,0,0,1,28,0,0,5598.0,5182.0
1,2,2013-01-29,3725,522,1,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,2013,1,Tuesday,0,0,0,1,29,0,1,4055.0,5394.0
